num_distr	mouse.time	mouse.clicked_name							
5	1.5596944	target							
5	1.4018361	target		Set size 5 	1.594867738			Set size 	Mean 
5	2.2319897	target						5	1.594868
5	1.668193	target		Set size 10 	1.802474633			10	1.802475
5	1.718661	target							
5	1.4202056	target							
5	1.2691684								
5	1.1363484	target							
5	1.2304731	target							
5	1.7475685	target							
5	1.8095451	target							
5	1.8314539	target							
5	1.3342659	target							
5	1.386224	target							
5	1.2996766	target							
5	1.452085	target							
5	1.2663856	target							
5	1.8989758	target							
5	1.454495	target							
5	1.5505116	target							
5	1.3494971	target							
5	1.2332978	target							
5	1.3347764	target							
5	1.4512907	target							
5	1.1351881	target							
5	1.7677257	target							
5	1.2834807	target							
5	1.8008639	target							
5	1.4179842	target							
5	1.5172231	target							
5	1.1675663	target							
5	1.3688721	target							
5	1.367324	target							
5	1.7537375	target							
5	1.3153616	target							
5	1.649535	target							
5	1.2342116	target							
5	1.2752783	target							
5	1.8564115	target							
5	1.652199	target							
5	1.6326554	target							
5	1.4395277								
5	1.2141376	target							
5	1.4023186	target							
5	1.5015318	target							
5	1.3516796	target							
5	1.4656712	target							
5	1.5188141	target							
5	1.133912								
5	1.5880821	target							
5	1.9352562	target							
5	1.3012758	target							
5	1.6357093	target							
5	2.5527612	target							
5	1.8507748	target							
5	1.6686148	target							
5	1.3183867	target							
5	1.1822685								
5	1.4195381	target							
5	1.5033543	target							
5	1.3335597	target							
5	1.736003	target							
5	1.8369206	target							
5	1.2862203	target							
5	1.3788379								
5	1.7511358	target							
5	2.1689457	target							
5	1.4678911	target							
5	1.7009357								
5	1.4171439	target							
5	1.4202399	target							
5	1.2497121								
5	1.5863551	target							
5	1.68369	target							
5	1.900847	target							
5	1.4023487	target							
5	3.1664223	target							
5	1.4358995	target							
5	1.1993049	target							
5	1.3699843	target							
5	2.1671597	target							
5	2.35315	target							
5	1.2851977	target							
5	1.4321771	target							
5	1.6012576	target							
5	1.3794748	target							
5	1.5011173	target							
5	2.180152	target							
5	1.4529036	target							
5	1.8831184	target							
5	1.5328309								
5	1.046616	target							
5	1.241034								
5	1.6299713	target							
5	1.4722854	target							
5	1.0657392	target							
5	1.6158458	target							
5	1.583777	target							
5	1.4178884	target							
5	1.4464941	target							
5	1.1434647	target							
5	1.3066489	target							
5	1.2668917	target							
5	1.3011312	target							
5	1.3812926	target							
